State,Adult_Population,Population65+
AK,552319.00 ,74340.00 
AL,3748089.00 ,762032.00 
AR,2272226.00 ,476167.00 
AZ,5187520.00 ,1106362.00 
CA,29868127.00 ,5148448.00 
CO,4185186.00 ,707396.00 
CT,2831746.00 ,575757.00 
DC,554333.00 ,79769.00 
DE,739679.00 ,160565.00 
FL,16166865.00 ,3926889.00 
GA,7702432.00 ,1300430.00 
HI,1114075.00 ,238126.00 
IA,2389398.00 ,501026.00 
ID,1222764.00 ,242449.00 
IL,9895529.00 ,1847932.00 
IN,5036563.00 ,968568.00 
KS,2185546.00 ,426273.00 
KY,3411784.00 ,672706.00 
LA,3550728.00 ,655848.00 
MA,5405787.00 ,1049751.00 
MD,4648466.00 ,849185.00 
ME,1073331.00 ,250131.00 
MI,7717047.00 ,1575233.00 
MN,4204388.00 ,803718.00 
MO,4685891.00 ,956032.00 
MS,2259919.00 ,437027.00 
MT,803704.00 ,176138.00 
NC,7762882.00 ,1514937.00 
ND,575105.00 ,107196.00 
NE,1424102.00 ,278598.00 
NH,1067991.00 ,219293.00 
NJ,6960340.00 ,1353999.00 
NM,1587101.00 ,328682.00 
NV,2217723.00 ,420330.00 
NY,15594924.00 ,3008351.00 
OH,8982588.00 ,1844642.00 
OK,2939976.00 ,574330.00 
OR,3160871.00 ,655089.00 
PA,10101588.00 ,2181022.00 
PR,2737636.00 ,629621.00 
RI,845556.00 ,170144.00 
SC,3802489.00 ,795256.00 
SD,644483.00 ,132118.00 
TN,5099734.00 ,1013356.00 
TX,20206495.00 ,3215906.00 
UT,2082530.00 ,307095.00 
VA,6499678.00 ,1187867.00 
VT,504856.00 ,109551.00 
WA,5554591.00 ,1029040.00 
WI,4469267.00 ,896724.00 
WV,1459974.00 ,336326.00 
WY,444842.00 ,84239.00 
